CLAIM_ID,PUBLIC_CLAIM,SOURCE_ARTIFACT,SOURCE_LOCATION,EXACT_PROOF,REAL / INTEGRATED / SYNTHETIC / SHADOW / REPRESENTATIVE,PUBLIC_SAFE,NEEDS_REDACTION,WEBSITE_DESTINATION,GITHUB_DESTINATION,STATUS
W1-011,N3 reclassified an apparent history/migration defect as no-repair after current-tree review instead of forcing an unnecessary patch.,N3_V011R4R1_RETURN_20260913_165910.zip,final adjudication / closeout receipt,PASS_RECLASSIFIED_NO_REPAIR; the review found false-positive consumers without proven history demand and did not authorize a semantic repair; baseline remained unchanged.,INTEGRATED,YES,YES,Proof page → Test-first/no-unnecessary-repair example,docs/verification/n3-history-adjudication.md,PUBLIC_READY_AFTER_SANITIZED_RECEIPT_EXPORT
W1-012,N2 withheld seal when an authoritative upstream→N2 transport contract could not be established.,W48_05_N2_FINAL_SEAL_FAIL_WITH_DEFECT_V001_READY.zip + N2 final closeout receipts,final seal disposition / defect receipt,FAIL_WITH_DEFECT; N2_SEALED=FALSE; named defect N2-DEFECT-013-NATIVE_N2_TRANSPORT_CONTRACT_ABSENT; no baseline/core mutation. The exact label FINAL_BLOCKED_EXTERNAL_OWNER was not independently resolved in W1 and is therefore not approved for public use.,INTEGRATED,YES,YES,Proof page → Release/seal refusal; use plain-language outcome,docs/verification/n2-transport-contract-blocker.md,PUBLIC_READY_AFTER_SANITIZED_RECEIPT_EXPORT
W1-013,A controlled rebaseline can repair the test harness without rewriting the historical defect record.,HISTORICAL_DEFECT_RECEIPT.json + CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json,historical_status; rebaseline_does_not_rewrite_history; historical_equivalence,defect=CROSS_THREAD_MACHINE_LINKAGE_ABSENT; historical_status=OPEN_PRESERVED; historical_batch60_equivalence=false; rebaseline_does_not_rewrite_history=true; rebaseline_scope=CI_TEST_004_TEST_ONLY; repaired rerun passes but historical_equivalence=false.,SHADOW,YES,YES,Proof page → History / audit behavior,docs/verification/ci-test-004-history-preservation.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-014,Bounded repair and seam tests preserve the sealed Batch60 baseline rather than editing it to make tests pass.,CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json; CI_TEST_005_SUMMARY.txt; CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt; CI_TEST_008_V012_RESULT.json,immutability/before-after fields across receipts,CI-004 canonical_baseline_mutated=false and BATCH60_IMMUTABILITY_PIN PASS; CI-005 sealed hash before=after and SEALED_BATCH60_MUTATED=NO; CI-006 BATCH60_IMMUTABILITY_PIN=PASS; CI-008 batch60_immutability_pin=true.,SHADOW,YES,YES,Proof page → Immutability / governance,docs/verification/baseline-immutability.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-015,HYDRA currently proves multi-source ingestion in an integrated/live public-ready path.,HYDRA_THREAD_C_EVIDENCE_SELF_HEALING_CLOSEOUT.txt,"sections 1-3, ownership/boundary/count reconciliation","The review packet says ingestion/normalization/extraction are Thread C-owned and SYNTHETIC_SHADOW_ONLY, with no live/production ingestion authorized. It explicitly states the preceding PASS flags are claims to test, not proof. No later independently verified ingestion execution receipt was resolved during W1.",SYNTHETIC,NO,YES,Hero badge 'Multi-source ingestion' → HOLD until execution receipt; architecture text → rewrite as design intent only,docs/verification/pending-ingestion-proof.md,BLOCKED_PENDING_EXECUTION_RECEIPT
W1-016,HYDRA currently proves normalization end-to-end on live data.,HYDRA_THREAD_C_EVIDENCE_SELF_HEALING_CLOSEOUT.txt,normalization / serialization / synthetic-shadow boundary sections,The packet defines normalization tests and preservation requirements but explicitly keeps execution SYNTHETIC_SHADOW_ONLY and treats earlier PASS flags as claims requiring independent verification. No live-data normalization closeout was resolved in W1.,SYNTHETIC,NO,YES,"Architecture step 'Normalize' → retain only as architecture/design label, not as proven live capability",docs/verification/pending-normalization-proof.md,BLOCKED_PENDING_EXECUTION_RECEIPT
W1-017,Provenance and lineage references are preserved through the repaired T2→T4→T5 quarantine/release-block seam.,CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt,CHECK::T4_LINEAGE_PRESERVED; CHECK::T4_PROVENANCE_PRESERVED; T5/reference checks,CHECK::T4_LINEAGE_PRESERVED=PASS; CHECK::T4_PROVENANCE_PRESERVED=PASS; T5_T4_REFERENCE=PASS; T5_EXACT_SOURCE_REFERENCE=PASS; forward and reverse edges PASS; BOUNDARY=SYNTHETIC_SHADOW_ONLY.,SHADOW,YES,YES,Hero badge 'Lineage + release gates' → KEEP with proof link and scope note,docs/verification/lineage-release-gates.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-018,HYDRA currently proves broad production-grade identity resolution across all market/reference/history sources.,N4 source-authority closeout + N1 seal receipts,N4 authority seam; N1 canonical identity authority,Evidence proves a source-authority decision seam and N1 consumption of canonical identity authority. It does not prove a production-wide identity-resolution service across all sources. Broad 'identity resolution' wording therefore exceeds the receipts.,INTEGRATED,NO,YES,Architecture 'identity resolution' → REWRITE to 'source authority + canonical identity gates',docs/architecture/authority-and-identity-gates.md,REWRITE_REQUIRED
W1-019,"HYDRA uses contract/schema validation at bounded handoffs, with explicit rejection rather than silent coercion or fabricated mapping.",CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json + N4_FINAL_CLOSEOUT_V004,CI-004 contract-path checks; N4 schema/provenance/unknown-source rejection tests,"CI-004 contract path passes with ZERO_FABRICATED_MAPPING_CLAIMS=PASS and no baseline mutation; N4 108/108 suite includes schema parsing/validation, unknown-key rejection, malformed provenance rejection, unresolved-authority rejection, and non-coercion checks.",SHADOW,YES,YES,Hero badge → prefer 'Contract-checked handoffs' over 'Contract-bound handoffs' until T5→T6 authority binding is closed,docs/verification/contracts-and-schemas.md,PUBLIC_READY_WITH_WORDING_CHANGE
W1-020,The representative Constraint output displayed publicly is backed by a sanitized execution receipt.,NONE_LOCATED_IN_W1,n/a,No sanitized representative Constraint-output receipt was resolved and bound to a public-safe example during W1.,REPRESENTATIVE,NO,YES,Constraint-output demo/card → BLOCK until one receipt-backed sanitized example is selected,docs/examples/constraint-output/README.md,BLOCKED_NEEDS_SANITIZED_RECEIPT
W1-021,"HYDRA currently proves an integrated operational handoff from Constraint output into downstream research, risk scoring, and planning consumers.",CI-008 authority receipts + N5 final blocked native-admissibility seal,T5→T6 blocker / downstream admissibility status,"Current evidence proves gating and an unresolved authoritative T5→T6 binding, not a completed downstream operational path. The website may describe downstream consumers as intended/design destinations, not as proven integrated execution.",INTEGRATED,NO,YES,Architecture downstream box → label 'downstream consumers / intended handoff' rather than 'serves downstream intelligence',docs/architecture/downstream-handoff-status.md,REWRITE_REQUIRED
W1-022,HYDRA's release/seal workflow can refuse progression when required authority or transport contracts are unresolved.,CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt + CI_TEST_008_V012_RESULT.json + N2 final seal receipts,T5 release-block; CI-008 blocked authority; N2 seal disposition,CI-006 T4_TO_T5_RELEASE_BLOCK_PATH=PASS; CI-008 remains blocked with zero complete authority cases and no invented semantic values; N2 final closeout records FAIL_WITH_DEFECT and N2_SEALED=FALSE when native transport authority was absent.,INTEGRATED,YES,YES,Hero/supporting copy → 'Lineage + release gates'; Proof page → fail-closed release behavior,docs/verification/release-and-seal-gates.md,PUBLIC_READY_AFTER_REDACTION
W1-023,The source-authority registry explicitly rejects nested secret material in registry/cost metadata.,N4_FINAL_CLOSEOUT_V004,"tests 038, 100, 101; 108/108 closeout",test_038_secret_metadata_forbidden=ok; test_100_nested_secret_in_registry_metadata_rejected=ok; test_101_nested_secret_in_cost_metadata_list_rejected=ok; entire N4 suite=108/108 PASS.,INTEGRATED,YES,NO,Proof page → Validation / defensive controls; optional,docs/verification/n4-source-authority-registry.md,PUBLIC_READY
W1-024,The website can call the current HYDRA evidence 'real-data production validation.',CI-004/005/006/008 + N4 closeout,boundary/live-data fields,CI-004/005/006 evidence is SYNTHETIC_SHADOW_ONLY; CI-005 and CI-006 say LIVE_HYDRA_DATA_USED=NONE; N4 says N4_LIVE_HYDRA_DATA_USED=NONE. No W1 evidence authorizes a blanket 'production validated' claim.,SHADOW,NO,NO,Global copy rule → FORBIDDEN until a real-data receipt exists,docs/verification/evidence-classification-policy.md,REJECTED_UNSUPPORTED
