CLAIM_ID,SURFACE,CATEGORY,PUBLIC_CLAIM,SOURCE_EVIDENCE,INITIAL_STATUS,REMEDIATION,FINAL_STATUS,FINAL_SCOPE_LABEL
PC-011,WEBSITE_W2,provenance,"Exact replay, stable lineage digest, reverse trace and why trace completed.",CI-TEST-005 summary.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-012,WEBSITE_W2,validation,Integrated seam path passed with frozen baseline unchanged.,CI-TEST-004/005 receipts.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-013,WEBSITE_W2,defect,A named cross-thread defect was isolated.,CI-TEST-004 defect/repair chain.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-014,WEBSITE_W2,repair,Minimum bounded repair followed by rerun produced PASS_REPAIRED_CI_TEST_004 with baseline immutability preserved.,CI_TEST_004_REPAIRED_RERUN_SUMMARY_V004.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-015,WEBSITE_W2,authority,CI-008 blocked rather than inventing missing semantic values.,CI_TEST_008_V005_RESULT: ready_t5_candidate_count=0; semantic_values_invented=false.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-016,WEBSITE_W2,output,Final constraint object shown is representative rather than a live production output.,W2 explicit REPRESENTATIVE label and W3/W4 scope statements.,VERIFIED_WITH_LABEL,KEEP label adjacent to output.,VERIFIED_WITH_LABEL,REPRESENTATIVE / NON-LIVE
PC-017,WEBSITE_W3,ingestion,Case study uses real canonicalization receipt as platform proof.,"3,353 source records; 17,766,662 canonical rows; PASS.",VERIFIED,KEEP real proof separate from representative semantics.,VERIFIED,REAL PLATFORM PROOF
PC-018,WEBSITE_W3,normalization,“Raw differences are retained as provenance rather than flattened into one anonymous fact.”,"Public receipt proves manifest/source accounting, but this sentence can be read as a stronger raw-preservation implementation claim than the surfaced receipt proves.",AMBIGUOUS,REWRITE to source-reference attribution rather than raw-preservation claim.,VERIFIED_WITH_LABEL,REPRESENTATIVE NORMALIZATION PATTERN
PC-019,WEBSITE_W3,identity,Classifier does not mint canonical identity.,N1 invariant explicitly forbids identity minting/promotion.,VERIFIED_WITH_LABEL,KEEP; representative structure remains labeled.,VERIFIED_WITH_LABEL,GOVERNED SEMANTIC RULE / REPRESENTATIVE STRUCTURE
PC-020,WEBSITE_W3,authority,Pricing pressure alone does not authorize physical shortage; multiple sources do not automatically authorize systemic scope.,N1 semantic boundary rules.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,GOVERNED SEMANTIC RULE
PC-021,WEBSITE_W3,provenance,"Stable lineage digest, reverse trace, why trace, and unchanged sealed baseline.",CI-TEST-005 summary.,VERIFIED_WITH_LABEL,KEEP integration scope visible.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-022,WEBSITE_W3,constraint_output,“The system chooses the narrowest conclusion the evidence can defend.”,"Representative case illustrates this policy, but public proof does not establish a universal runtime optimization rule with that exact wording.",AMBIGUOUS,REWRITE to “This representative interpretation uses the narrowest conclusion supported by the stated evidence.”,VERIFIED_WITH_LABEL,REPRESENTATIVE / NON-LIVE
PC-023,WEBSITE_W3,constraint_output,SUPPORTED: LOCAL BOTTLENECK.,"This is the stated result of the explicitly representative case, not a live market conclusion.",VERIFIED_WITH_LABEL,KEEP representative/non-live label.,VERIFIED_WITH_LABEL,REPRESENTATIVE / NON-LIVE
PC-024,WEBSITE_W3,constraint_output,NOT AUTHORIZED: SYSTEMIC SHORTAGE.,Representative evidence + N1 boundary rules do not support promotion to systemic shortage.,VERIFIED_WITH_LABEL,KEEP representative/non-live label.,VERIFIED_WITH_LABEL,REPRESENTATIVE / NON-LIVE
PC-025,GITHUB_README,ingestion,Multi-source ingestion and canonicalization with explicit source accounting.,Canonicalization proves governed source-file accounting but “multi-source” can imply multiple independent providers.,AMBIGUOUS,REWRITE to “Source-accounted ingestion and canonicalization.”,VERIFIED,REAL DATA CAPABILITY
PC-026,GITHUB_README,identity,Deterministic identity and provenance so outputs remain traceable to evidence.,Public proof clearly supports governed identity boundaries and provenance; deterministic identity itself is not directly demonstrated by the four surfaced recruiter receipts.,AMBIGUOUS,REWRITE to “Governed identity and provenance so outputs remain traceable to evidence.”,VERIFIED_WITH_LABEL,GOVERNED ARCHITECTURE + SYNTHETIC/SHADOW TRACE PROOF
PC-027,GITHUB_README,provenance,"Exact replay match, stable lineage digest, reverse trace complete, why trace complete.",CI-TEST-005 receipt.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-028,GITHUB_README,repair,CI-TEST-004 passed after bounded repair without fabricated historical mapping or baseline mutation.,CI-TEST-004 repaired rerun receipt.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-029,GITHUB_README,authority,CI-008 could not satisfy T5→T6 contract without invented values; semantic_values_invented=false.,CI-TEST-008 V005 receipt.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
PC-030,GITHUB_ARCHITECTURE,architecture,Diagram presents market/reference/history sources as the architecture input model.,"Architecture is credible as a model, but current public proof does not claim every source family is live/integrated.",AMBIGUOUS,"ADD explicit architecture-scope note: diagram is the governed model; evidence proves specific paths, not live integration of every source family.",VERIFIED_WITH_LABEL,ARCHITECTURE MODEL; NOT ALL FAMILIES CLAIMED LIVE
PC-031,GITHUB_README,production,"No production deployment, live production constraint feed, or live ML execution is claimed.",README and REAL_VS_SYNTHETIC explicitly exclude these claims; evidence receipts also mark ML/training/promotion frozen/none where applicable.,VERIFIED,KEEP.,VERIFIED,NEGATIVE CLAIM BOUNDARY
PC-032,GITHUB_README,runtime,No public production runner is claimed; current demo path is inspectable evidence only.,README Run/demo section explicitly states this boundary.,VERIFIED,KEEP.,VERIFIED,PUBLIC RUNTIME BOUNDARY
PC-033,GITHUB_README,scale,Public scale claim is limited to the exact options canonicalization counts.,Options receipt supports exact counts; no generalized throughput/SLA claim is made.,VERIFIED,KEEP.,VERIFIED,REAL HISTORICAL DATA
PC-034,GITHUB_README,testing,Public test story uses specific named receipts instead of broad unverified test-count totals.,Four surfaced evidence receipts; no unsupported aggregate test count presented.,VERIFIED,KEEP.,VERIFIED,PUBLIC EVIDENCE SET
PC-035,ALL_SURFACES,ml,No production ML inference/training capability is presented as current public proof.,W2/W4 scope statements and receipts explicitly avoid production ML claims.,VERIFIED,KEEP.,VERIFIED,PUBLIC CLAIM BOUNDARY
PC-036,ALL_SURFACES,labels,Synthetic/shadow and representative artifacts retain their labels where they carry semantic/test claims.,"W2 scope labels, W3 representative/non-live labels, W4 REAL_VS_SYNTHETIC table.",VERIFIED,KEEP labels mandatory.,VERIFIED,LABEL CONSISTENCY
